"I.P01" "I.P07" "I.P11" "I.S07" "I.S29" "I.S34" "I.W31" "I.W32" "I.W33" "S.P03" "S.P09" "S.P12" "S.S05" "S.S08" "S.S32" "S.W20" "S.W36" "S.W37"
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.NA.NA" 428 647 314 509 1465 1050 221 430 277 550 243 465 769 181 629 166 275 150
"Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.NA.NA" 84 75 54 164 72 114 61 46 82 114 47 129 213 52 114 8 59 23
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.NA.NA" 681 552 356 1027 728 854 329 372 395 357 298 632 980 319 694 125 328 277
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.NA.NA" 158 198 26 133 96 39 50 173 65 61 82 119 141 45 20 172 137 41
"Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.NA.NA" 8 16 272 24 20 21 10 182 34 253 7 30 20 4 9 6 6 28
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.NA.NA" 166 171 77 208 167 197 132 145 233 156 146 166 312 94 111 26 105 113
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Tissierellaceae.NA.NA" 1818 200 298 314 2386 303 215 208 267 406 244 219 589 223 355 80 158 109
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Sporomusaceae.NA.NA" 747 859 258 535 1064 1325 319 681 395 313 301 370 714 324 830 181 229 257
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.NA.NA" 31 34 26 59 20 30 24 15 31 23 35 31 99 24 39 18 18 24
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.NA.NA" 30 28 37 43 249 18 26 10 31 12 115 38 165 18 25 9 29 20
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacteraceae.NA.NA" 79 108 66 193 120 99 89 72 90 88 66 100 197 83 140 18 73 27
"Bacteria.Firmicutes.Clostridia.Clostridiales.Heliobacteriaceae.NA.NA" 30 20 5 27 22 23 26 26 13 21 9 35 35 6 10 18 19 8
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.NA.NA" 136 80 60 144 173 91 33 144 76 145 53 118 266 77 77 70 44 72
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacterales Family III. Incertae Sedis.NA.NA" 3 16 2 10 4 6 7 3 7 1 2 2 2 11 8 1 11 4
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.NA.NA" 60 115 26 132 141 124 34 85 53 39 61 64 184 37 20 12 65 36
"Bacteria.Firmicutes.Clostridia.Clostridiales.Syntrophomonadaceae.NA.NA" 6 13 4 14 6 14 20 59 4 9 6 6 15 11 27 5 10 16
"Bacteria.Firmicutes.Bacilli.Bacillales.Sporolactobacillaceae.NA.NA" 4 3 0 1 0 0 0 1 1 1 0 0 5 1 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Listeriaceae.NA.NA" 40 18 15 61 26 27 41 55 17 47 17 26 20 37 16 18 33 8
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XII. Incertae Sedis.NA.NA" 5 0 0 1 5 0 3 3 3 0 0 0 4 0 2 0 5 5
"Bacteria.Firmicutes.Bacilli.Bacillales.Alicyclobacillaceae.NA.NA" 20 10 10 75 18 12 18 23 72 9 23 19 19 6 4 11 4 21
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.NA.NA" 234 170 62 162 161 178 130 195 199 82 75 92 284 77 152 32 72 136
"Bacteria.Firmicutes.Clostridia.Halanaerobiales.Halanaerobiaceae.NA.NA" 5 1 5 1 3 6 11 11 13 19 6 19 8 6 5 2 5 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.NA.NA" 30 86 28 37 8 66 6 10 15 36 13 39 97 16 45 4 15 5
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Gottschalkiaceae.NA.NA" 6 2 1 4 7 3 4 9 1 7 5 1 8 3 6 8 5 3
"Bacteria.Firmicutes.Clostridia.Halanaerobiales.Halobacteroidaceae.NA.NA" 14 21 13 24 19 16 10 22 15 24 9 18 42 12 10 12 13 8
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.NA" 98583 204932 62892 402450 154704 137731 32050 43141 41356 168633 95091 120215 333178 79532 180849 20038 34000 34630
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Pseudoflavonifractor.NA" 33730 8792 6403 14406 40238 25603 21470 21944 13505 13458 19671 70851 64939 16575 7401 3432 25335 16823
"Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter.NA" 28768 11029 22789 11835 29736 41788 12965 25977 9296 29272 8126 27536 30106 6074 10713 2166 12033 7079
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.NA" 80866 62066 31088 61646 85091 105458 5692 6323 6866 67818 52354 46870 144707 24898 69293 1557 3602 4489
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.NA" 20496 21367 16293 85047 32697 22231 3924 3478 5060 22938 48499 28198 191389 20266 13916 1277 2546 3497
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.NA" 74907 63752 20058 72412 573284 44310 13923 8066 22685 106192 34970 41221 71624 15939 16567 2158 5500 12590
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.NA" 40166 36092 28814 56347 76941 41162 13473 19745 18358 73020 24118 29766 73354 39111 59714 4754 9569 8932
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Flavonifractor.NA" 29177 11005 7485 12873 20770 24302 24625 23137 15097 12085 10352 28423 36466 10942 7637 9634 24285 16793
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Butyrivibrio.NA" 52078 44916 24984 35055 34692 42355 5710 5588 6913 59043 27961 29251 95478 18059 52654 1382 4448 3490
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.NA" 59714 16180 27907 134219 27988 23837 1212 1445 1089 76847 96749 7267 321991 29365 73977 1485 862 1240
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoclostridium.NA" 4888 5819 2617 5290 6357 3572 2451 3201 1810 3738 2984 6104 11689 2244 4561 608 1650 1164
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus.NA" 28412 8138 5917 13831 22835 25382 8193 8441 8791 10313 7908 22165 27526 6459 9511 2442 8177 4545
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea.NA" 13713 9453 5293 14537 10820 10082 9271 3813 14831 10388 7884 9051 21967 6502 8722 1172 3115 3486
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.NA" 29783 18978 18339 61900 55330 19232 24970 34338 30389 69994 12066 24126 40160 17913 12625 2503 22591 8792
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Enterocloster.NA" 1870 1590 820 1197 2705 1108 677 1100 478 2431 833 1129 3225 1379 1790 711 1445 2695
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Butyricicoccus.NA" 4243 1347 1259 2761 3545 7105 1941 2128 1841 1651 2487 2801 12885 1292 1255 288 2006 889
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Neglecta.NA" 17305 4989 2819 4504 7397 39024 7562 2401 3956 3354 6730 15465 29114 6445 3553 523 2732 1959
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Acutalibacter.NA" 931 279 191 550 482 924 448 176 340 267 335 956 1479 371 193 32 228 210
"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.Intestinimonas.NA" 727 420 128 257 307 405 286 441 235 117 194 429 367 107 108 31 291 123
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Eisenbergiella.NA" 1803 1298 1268 1447 3289 1006 268 395 427 1151 1166 710 2241 1071 2797 686 115 114
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Hungatella.NA" 5491 2245 3457 2994 5721 2387 7075 17992 4182 6164 3434 1974 6344 5308 7090 292119 12105 21019
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.NA" 12181 27394 7248 15263 11629 17707 2562 2882 3891 10501 15783 23120 37370 5965 10660 1386 1989 2041
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.NA" 6660 7616 3233 6431 8283 5389 2157 2827 3527 9083 2961 5593 10696 2968 5767 817 1790 1832
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Clostridioides.NA" 1 1 1 3 0 0 1 1 4 0 0 0 3 1 3 4 6 3
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum.NA" 2299 1597 1337 1785 1590 1690 575 914 1094 9770 1922 2389 3845 1779 1637 17563 1522 6408
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnotalea.NA" 1 0 8 5 1 9 1 0 16 1 0 1 1 2 15 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Pseudobutyrivibrio.NA" 6617 5666 3431 6618 6293 8382 1201 1308 1484 5551 5392 4210 12095 2244 6122 267 732 786
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerocolumna.NA" 951 535 560 992 756 950 109 149 96 835 491 374 1406 400 1424 43 85 80
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.NA" 3234 2413 801 2426 4542 1919 831 1222 1082 1502 1415 2045 3669 1648 1697 435 814 648
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaeromassilibacillus.NA" 371 228 190 736 586 415 454 107 977 484 243 415 799 290 235 83 142 516
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerostipes.NA" 1345 1749 679 1306 1127 1654 497 473 449 1700 1130 1053 6629 590 1245 1417 355 227
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Oribacterium.NA" 2707 6068 1411 2386 2570 2444 918 1281 1405 1767 1403 2974 4689 1361 1883 629 747 823
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lacrimispora.NA" 202 280 132 256 183 304 117 191 130 215 251 195 300 119 159 99 119 158
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.NA" 3150 2832 1837 3747 4336 4888 1291 1926 2104 3653 1887 2683 6361 1596 3113 550 1727 1248
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Lactonifactor.NA" 9773 9815 4939 11580 7366 5426 2337 2687 2602 9577 3126 7075 13588 4610 7195 872 1509 1169
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Gemmiger.NA" 1759 683 683 1139 835 1093 458 631 523 1738 1018 1315 2845 723 1554 148 419 249
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospira.NA" 1101 2490 1187 1582 1865 1488 300 268 270 1214 950 993 2951 404 834 116 170 245
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Agathobaculum.NA" 264 67 71 92 83 644 134 85 105 99 208 72 1634 67 59 11 166 60
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.NA" 3404 3202 1717 3709 2936 2826 1415 3805 2511 3635 1937 2688 6674 1616 2216 1154 1259 3382
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.Selenomonas.NA" 2393 1919 1044 2240 3667 3222 744 1058 1014 1808 920 1503 3208 904 2129 346 834 622
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Robinsoniella.NA" 7498 7253 5235 12818 12404 6189 3415 7903 4852 9773 5170 5301 14841 5044 7984 85048 3703 1587
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerotignum.NA" 598 564 424 664 835 791 667 1061 614 515 472 231 610 390 902 500 946 345
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Faecalicatena.NA" 113 16 140 56 209 32 11 4 0 13 79 24 76 202 461 0 3 2
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Drancourtella.NA" 3369 3485 1649 4320 3459 2124 873 871 1543 3151 1911 2313 5552 2284 2328 318 627 619
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Herbinix.NA" 106 500 170 303 157 1595 55 77 128 722 155 134 826 36 159 76 42 69
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Intestinibacillus.NA" 35 20 10 29 37 46 10 28 23 16 23 35 121 12 13 2 13 7
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XIII. Incertae Sedis.Emergencia.NA" 43 25 13 84 88 52 129 488 321 65 39 32 164 35 46 162 186 69
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelatoclostridium.NA" 842 856 979 1143 626 848 346 1707 970 780 418 495 1233 1049 1277 462 372 2978
"Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Ruminiclostridium.NA" 266 538 197 429 321 420 121 182 254 243 156 312 436 123 358 38 109 117
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Dialister.NA" 348 230 276 491 482 297 164 236 278 197 204 261 580 189 376 66 253 159
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Cellulosilyticum.NA" 1792 2045 918 1432 1415 1743 309 281 319 2299 675 1039 3187 667 1812 82 210 159
"Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Acidaminococcus.NA" 1601 1216 1347 1905 1730 1756 886 1169 819 1615 911 1651 2351 682 992 327 931 634
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Desulfosporosinus.NA" 522 410 231 540 691 585 284 558 474 515 233 389 890 283 232 179 292 220
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Megasphaera.NA" 1099 951 631 1233 1158 1207 498 879 725 704 643 930 1402 446 625 367 659 504
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Holdemania.NA" 800 1494 2809 1793 1317 451 1326 448 1198 994 463 723 1521 1737 762 113 1802 1084
"Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Hungateiclostridium.NA" 233 220 273 230 256 542 104 87 79 193 168 159 634 110 241 12 51 29
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoanaerobaculum.NA" 558 897 895 601 614 1091 108 198 141 409 521 866 1411 908 2613 59 132 120
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Coprobacillus.NA" 957 658 1046 1350 874 636 853 1537 1725 1371 430 890 1931 1157 1372 2586 885 1120
"Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenella.NA" 245 221 116 326 289 215 170 175 205 164 123 258 465 121 101 24 170 74
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Massilimaliae.NA" 5 7 6 1 4 6 2 0 1 10 5 3 9 7 4 0 15 0
"Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Phascolarctobacterium.NA" 461 1170 3283 691 872 434 174 109199 357 156453 255 677 697 176 338 165 283 212
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Desulfitobacterium.NA" 748 349 278 855 616 494 385 857 553 920 512 561 1336 293 570 276 344 286
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XIII. Incertae Sedis.Aminipila.NA" 286 233 139 388 400 279 257 340 564 168 162 215 537 296 261 91 374 196
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.NA" 315 357 202 353 220 316 164 429 311 565 220 301 689 160 218 85 158 175
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Caproiciproducens.NA" 4 0 0 1 4 2 0 0 1 0 1 6 11 4 6 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Acetobacterium.NA" 545 909 290 655 494 370 192 258 239 480 224 595 864 323 611 133 126 151
"Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Thermoclostridium.NA" 12 13 6 147 42 4 3 2 25 9 15 79 60 13 4 0 17 9
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Epulopiscium.NA" 653 1288 407 588 875 1728 346 258 486 1410 381 576 1313 426 1578 86 203 244
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Candidatus Stoquefichus.NA" 32 57 134 72 237 68 129 237 261 192 48 43 153 155 175 5 105 102
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Veillonella.NA" 592 783 506 1006 951 1015 573 878 500 756 420 565 954 347 908 195 311 395
"Bacteria.Firmicutes.Clostridia.Clostridiales.Defluviitaleaceae.Defluviitalea.NA" 92 565 9 62 15 591 29 8 5 48 22 29 137 9 881 3 7 6
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Massilimicrobiota.NA" 849 1451 784 1420 682 2775 759 1276 1753 1760 555 800 1578 1050 594 63 575 831
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerobutyricum.NA" 67 22 56 114 46 670 31 34 19 51 36 78 104 124 68 21 24 43
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Peptoniphilus.NA" 550 515 290 669 486 819 339 292 459 622 268 574 853 245 438 67 419 233
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Peptostreptococcus.NA" 316 249 119 320 308 270 113 224 268 179 175 180 659 146 320 35 151 187
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Dehalobacter.NA" 844 431 356 1012 1100 610 249 383 394 419 436 755 1047 327 560 80 264 186
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.Anaerovibrio.NA" 222 445 160 235 734 517 51 184 107 109 151 198 398 68 411 32 166 83
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Sporomusaceae.Sporomusa.NA" 457 506 181 412 794 1044 207 310 297 431 193 305 722 251 529 96 180 160
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Absiella.NA" 1122 986 516 1352 992 871 554 714 1499 1443 575 715 2025 646 1595 156 380 359
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Cohnella.NA" 382 131 157 430 382 182 114 311 159 238 154 191 573 148 278 34 168 118
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Shuttleworthia.NA" 1141 776 572 1155 1066 897 357 294 274 1235 546 675 1759 442 1622 67 146 111
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Virgibacillus.NA" 112 58 36 177 132 34 30 35 27 63 51 92 95 52 33 16 212 126
"Bacteria.Firmicutes.Clostridia.Clostridiales.Heliobacteriaceae.Heliobacterium.NA" 43 64 24 91 62 89 47 71 112 27 55 65 94 30 104 32 54 91
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Pelotomaculum.NA" 317 277 243 294 359 398 166 253 378 201 145 233 538 175 355 159 160 175
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Massilioclostridium.NA" 727 669 574 1524 1012 557 451 325 619 568 453 976 1460 455 764 79 240 339
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Anaerococcus.NA" 542 400 178 333 531 247 204 391 192 300 217 359 620 191 224 82 267 245
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Tissierellaceae.Tissierella.NA" 60 54 49 136 58 67 35 91 44 59 30 52 113 26 67 19 21 16
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Catenibacterium.NA" 527 233 250 583 603 258 147 238 269 244 244 247 711 344 484 67 151 199
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.Mitsuokella.NA" 316 273 80 298 563 435 122 125 148 469 200 229 645 133 266 38 114 64
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Alkaliphilus.NA" 30 18 12 51 42 26 14 16 23 28 43 22 91 13 19 1 13 8
"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.Natranaerovirga.NA" 68 22 18 13 17 53 1 3 3 14 11 20 79 9 47 1 2 2
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.Megamonas.NA" 534 992 287 916 1407 1453 228 283 426 595 307 589 856 315 819 123 218 239
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Vagococcus.NA" 72 68 45 267 89 70 110 53 152 110 103 98 374 96 34 9 112 93
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Desulfotomaculum.NA" 136 103 51 156 118 92 146 251 246 75 86 75 124 53 108 103 78 164
"Bacteria.Firmicutes.Clostridia.Clostridiales.Vallitaleaceae.Vallitalea.NA" 3 1 0 0 0 0 2 0 0 1 0 2 2 2 0 0 3 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Listeriaceae.Listeria.NA" 271 276 96 222 516 169 141 162 209 250 146 308 352 190 101 26 65 104
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XIII. Incertae Sedis.Mogibacterium.NA" 380 237 118 342 237 210 151 265 253 416 203 300 783 150 133 62 185 106
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Alkalibaculum.NA" 2 3 1 13 0 2 3 5 2 2 2 5 11 0 0 1 6 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Romboutsia.NA" 249 192 87 319 233 185 66 133 94 207 172 197 407 121 220 47 112 108
"Bacteria.Firmicutes.Bacilli.Bacillales.Sporolactobacillaceae.Sporolactobacillus.NA" 91 63 42 98 52 472 42 115 46 59 81 79 203 60 108 25 45 31
