"I-P01"	"OTU"	"I-P07"	"I-P11"	"I-S07"	"I-S29"	"I-S34"	"I-W31"	"I-W32"	"I-W33"	"S-P03"	"S-P09"	"S-P12"	"S-S05"	"S-S08"	"S-S32"	"S-W20"	"S-W36"	"S-W37"
3	"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacterales Family III. Incertae Sedis.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	"Bacteria.Firmicutes.Clostridia.Clostridiales.Syntrophomonadaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	"Bacteria.Firmicutes.Bacilli.Bacillales.Sporolactobacillaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	"Bacteria.Firmicutes.Bacilli.Bacillales.Listeriaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XII. Incertae Sedis.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	"Bacteria.Firmicutes.Bacilli.Bacillales.Alicyclobacillaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
234	"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	"Bacteria.Firmicutes.Clostridia.Halanaerobiales.Halanaerobiaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	"Bacteria.Firmicutes.Tissierellia.Tissierellales.Gottschalkiaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	"Bacteria.Firmicutes.Clostridia.Halanaerobiales.Halobacteroidaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98583	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33730	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Pseudoflavonifractor.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28768	"Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80866	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20496	"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74907	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40166	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29177	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Flavonifractor.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52078	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Butyrivibrio.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59714	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4888	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoclostridium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28412	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13713	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29783	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1870	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Enterocloster.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4243	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Butyricicoccus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17305	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Neglecta.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
931	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Acutalibacter.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
727	"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.Intestinimonas.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Eisenbergiella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5491	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Hungatella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12181	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6660	"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Clostridioides.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2299	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnotalea.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6617	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Pseudobutyrivibrio.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
951	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerocolumna.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3234	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
371	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaeromassilibacillus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1345	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerostipes.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2707	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Oribacterium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lacrimispora.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3150	"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9773	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Lactonifactor.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1759	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Gemmiger.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1101	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospira.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
264	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Agathobaculum.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3404	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2393	"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.Selenomonas.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7498	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Robinsoniella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
598	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerotignum.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Faecalicatena.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3369	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Drancourtella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Herbinix.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Intestinibacillus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XIII. Incertae Sedis.Emergencia.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
842	"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelatoclostridium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	"Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Ruminiclostridium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Dialister.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1792	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Cellulosilyticum.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1601	"Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Acidaminococcus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
522	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Desulfosporosinus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1099	"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Megasphaera.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800	"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Holdemania.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233	"Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Hungateiclostridium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
558	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoanaerobaculum.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
957	"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Coprobacillus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245	"Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Massilimaliae.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
461	"Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Phascolarctobacterium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
748	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Desulfitobacterium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
286	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XIII. Incertae Sedis.Aminipila.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
315	"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Caproiciproducens.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
545	"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Acetobacterium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	"Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Thermoclostridium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Epulopiscium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Candidatus Stoquefichus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
592	"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Veillonella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	"Bacteria.Firmicutes.Clostridia.Clostridiales.Defluviitaleaceae.Defluviitalea.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
849	"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Massilimicrobiota.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerobutyricum.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
550	"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Peptoniphilus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Peptostreptococcus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
844	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Dehalobacter.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222	"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.Anaerovibrio.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
457	"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Sporomusaceae.Sporomusa.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122	"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Absiella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Cohnella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1141	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Shuttleworthia.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Virgibacillus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	"Bacteria.Firmicutes.Clostridia.Clostridiales.Heliobacteriaceae.Heliobacterium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Pelotomaculum.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
727	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Massilioclostridium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
542	"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Anaerococcus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	"Bacteria.Firmicutes.Tissierellia.Tissierellales.Tissierellaceae.Tissierella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
527	"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Catenibacterium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.Mitsuokella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Alkaliphilus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.Natranaerovirga.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
534	"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.Megamonas.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Vagococcus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Desulfotomaculum.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	"Bacteria.Firmicutes.Clostridia.Clostridiales.Vallitaleaceae.Vallitalea.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
271	"Bacteria.Firmicutes.Bacilli.Bacillales.Listeriaceae.Listeria.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XIII. Incertae Sedis.Mogibacterium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Alkalibaculum.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
249	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Romboutsia.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	"Bacteria.Firmicutes.Bacilli.Bacillales.Sporolactobacillaceae.Sporolactobacillus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
395	"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Lysinibacillus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Anaerosphaera.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelothrix.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441	"Bacteria.Firmicutes.Tissierellia.NA.NA.Sedimentibacter.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Brevibacillus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
212	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Caloramator.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
481	"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Murdochiella.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Peptoclostridium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
261	"Bacteria.Firmicutes.Clostridia.Halanaerobiales.Halanaerobiaceae.Halanaerobium.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
