Sample,Season,Squirrel,ID,Ex_Date,Substrate,Antibiotics,Sex,Euthenasia,Body_Mass,Body_Temp,[DNA]_(ng/uL),DNA_Yield_(ng/mg)
CC1_S03,Summer,S03,3981,7/19/2017,Inulin,No Antibiotics,Female,Isoflurane,148,36,133.814005,96.96667028
CT1_S03,Summer,S03,3981,7/19/2017,Inulin,No Antibiotics,Female,Isoflurane,148,36,285.7688,246.3524138
CC1_S05,Summer,S05,4022,7/25/2017,Saline,No Antibiotics,Male,Isoflurane,148,39,97.61417105,81.34514254
CT1_S05,Summer,S05,4022,7/25/2017,Saline,No Antibiotics,Male,Isoflurane,148,39,273.9668,198.5266667
CC1_S06,Summer,S06,3991,7/26/2017,Inulin,No Antibiotics,Male,Isoflurane,163,37,62.8,46.17647059
CT1_S06,Summer,S06,3991,7/26/2017,Inulin,No Antibiotics,Male,Isoflurane,163,37,480.7196,400.5996667
CC1_S07,Summer,S07,4016,7/27/2017,Inulin,No Antibiotics,Female,Isoflurane,144,36,62.4,48
CT1_S07,Summer,S07,4016,7/27/2017,Inulin,No Antibiotics,Female,Isoflurane,144,36,232.0046,214.8190741
CC1_S08,Summer,S08,4029,7/28/2017,Saline,No Antibiotics,Female,Isoflurane,157,36,37.2,33.21428571
CT1_S08,Summer,S08,4029,7/28/2017,Saline,No Antibiotics,Female,Isoflurane,157,36,115.1764,112.9180392
CC1_S10,Summer,S10,3992,8/1/2017,Inulin,Antibiotics,Female,Isoflurane,124,36,0,0
CT1_S10,Summer,S10,3992,8/1/2017,Inulin,Antibiotics,Female,Isoflurane,124,36,525.5809,430.8040164
CC1_S11,Summer,S11,4026,8/2/2017,Saline,No Antibiotics,Female,Isoflurane,167,37,77.4,65.59322034
CT1_S11,Summer,S11,4026,8/2/2017,Saline,No Antibiotics,Female,Isoflurane,167,37,422.1112,329.774375
CC1_S12,Summer,S12,3967,8/3/2017,Saline,Antibiotics,Male,Isoflurane,156,35,0,0
CT1_S12,Summer,S12,3967,8/3/2017,Saline,Antibiotics,Male,Isoflurane,156,35,452.0576,327.577971
CC2_S21,Summer,S21,4045,8/14/2017,Inulin,Antibiotics,Female,Isoflurane,172,38.5,0,0
CT1_S21,Summer,S21,4045,8/14/2017,Inulin,Antibiotics,Female,Isoflurane,172,38.5,310.1896,209.5875676
CC1_S23,Summer,S23,4002,8/16/2017,Saline,Antibiotics,Female,Isoflurane,183,34,0,0
CT1_S23,Summer,S23,4002,8/16/2017,Saline,Antibiotics,Female,Isoflurane,183,34,324.8401,306.4529245
CT1_S24,Summer,S23,4002,8/16/2017,Saline,Antibiotics,Female,Isoflurane,183,34,292.163,239.4778689
CC1_S24,Summer,S24,4043,8/17/2017,Saline,No Antibiotics,Male,Isoflurane,175,36,102.7534828,85.62790233
CC1_S29,Summer,S29,4000,8/23/2017,Inulin,No Antibiotics,Female,Isoflurane,225,35,139.0271243,126.3882948
CT1_S29,Summer,S29,4000,8/23/2017,Inulin,No Antibiotics,Female,Isoflurane,225,35,435.1893,290.1262
CC1_S30,Summer,S30,4010,8/24/2017,Inulin,Antibiotics,Male,Isoflurane,213,33,0,0
CT1_S30,Summer,S30,4010,8/24/2017,Inulin,Antibiotics,Male,Isoflurane,213,33,230.2079,164.4342143
CC1_S31,Summer,S31,4038,8/25/2017,Saline,Antibiotics,Female,Isoflurane,207,31,0,0
CT1_S31,Summer,S31,4038,8/25/2017,Saline,Antibiotics,Female,Isoflurane,207,31,439.6844,379.0382759
CC1_S32,Summer,S32,4036,8/28/2017,Saline,No Antibiotics,Female,Isoflurane,211,34,167,114.0625
CT1_S23,Summer,S32,4036,8/28/2017,Saline,No Antibiotics,Female,Isoflurane,211,34,421.5953,405.3800962
CC1_S34,Summer,S34,4007,8/30/2017,Inulin,No Antibiotics,Female,Isoflurane,213,36,147.8471261,108.7111221
CT1_S34,Summer,S34,4007,8/30/2017,Inulin,No Antibiotics,Female,Isoflurane,213,36,546.6392,440.8380645
CC2_S37,Summer,S37,3982,9/1/2017,Inulin,Antibiotics,Male,Isoflurane,158,35,72.7520989,56.83757727
CT1_S37,Summer,S37,3982,9/1/2017,Inulin,Antibiotics,Male,Isoflurane,158,35,365.7606,345.0571698
CC1_S39,Summer,S39,4019,9/5/2017,Saline,Antibiotics,Female,Isoflurane,211,33.5,0,0
CT1_S39,Summer,S39,4019,9/5/2017,Saline,Antibiotics,Female,Isoflurane,211,33.5,361.2467,354.1634314
CC1_S40,Summer,S40,3958,9/7/2017,Inulin,No Antibiotics,Female,CO2,216,35.5,131,111.0169492
CT1_S40,Summer,S40,3958,9/7/2017,Inulin,No Antibiotics,Female,CO2,216,35.5,431.4469,365.6329661
CT1_S42,Summer,S42,3959,9/12/2017,Inulin,No Antibiotics,Female,Isoflurane,162,37,497.401802,436.3173702
CC1_S47,Summer,S47,4126,8/10/2018,Saline,No Antibiotics,Female,Isoflurane,162,36,182.0911607,171.7841139
CT1_S47,Summer,S47,4126,8/10/2018,Saline,No Antibiotics,Female,Isoflurane,162,36,442.0405159,425.0389576
CC1_S48,Summer,S48,4142,8/10/2018,Saline,No Antibiotics,Male,Isoflurane,143,34,135.9519463,109.6386664
CT1_S48,Summer,S48,4142,8/10/2018,Saline,No Antibiotics,Male,Isoflurane,143,34,357.7639715,303.1898064
CC1_S49,Summer,S49,4134,8/13/2018,Inulin,No Antibiotics,Male,Isoflurane,147.6,33,182.0994052,154.3215298
CT1_S49,Summer,S49,4134,8/13/2018,Inulin,No Antibiotics,Male,Isoflurane,147.6,33,228.5053884,200.4433231
CC1_S50,Summer,S50,4154,8/13/2018,Inulin,No Antibiotics,Male,Isoflurane,167.1,37,178.081974,150.9169271
CT1_S50,Summer,S50,4154,8/13/2018,Inulin,No Antibiotics,Male,Isoflurane,167.1,37,475.7670337,360.429571
CC1_S53,Summer,S53,4081,8/15/2018,Saline,Antibiotics,Female,Isoflurane,160.8,35,0.133678818,0.128537325
CT1_S53,Summer,S53,4081,8/15/2018,Saline,Antibiotics,Female,Isoflurane,160.8,35,366.1615924,345.4354645
CC2_S54,Summer,S54,4097,8/15/2018,Saline,Antibiotics,Female,Isoflurane,159.2,37,0.244574,0.210839655
CT1_S54,Summer,S54,4097,8/15/2018,Saline,Antibiotics,Female,Isoflurane,159.2,37,536.7422413,536.7422413
CC1_S56,Summer,S56,4089,8/16/2018,Saline,Antibiotics,Male,Isoflurane,166.2,37,0.047700371,0.041121009
CT1_S56,Summer,S56,4089,8/16/2018,Saline,Antibiotics,Male,Isoflurane,166.2,37,385.0921618,370.2809248
CC2_S59,Summer,S59,4143,8/20/2018,Inulin,Antibiotics,Female,Isoflurane,159.1,40,0.73977,0.528407143
CT1_S59,Summer,S59,4143,8/20/2018,Inulin,Antibiotics,Female,Isoflurane,159.1,40,591.0680294,492.5566912
CC1_S60,Summer,S60,4169,8/20/2018,Inulin,Antibiotics,Male,Isoflurane,162,37,0.113062919,0.095816033
CT1_S60,Summer,S60,4169,8/20/2018,Inulin,Antibiotics,Male,Isoflurane,162,37,271.2379431,222.3261829
CC1_S61,Summer,S61,4106,8/21/2018,Inulin,Antibiotics,Female,Isoflurane,152.1,36.5,0.357713191,0.298094326
CT1_S61,Summer,S61,4106,8/21/2018,Inulin,Antibiotics,Female,Isoflurane,152.1,36.5,429.5745768,376.8198042
CC2_W03,Winter,W03,4013,1/22/2018,Inulin,Antibiotics,Female,Isoflurane,125.4,36,6.00551,4.351818841
CT1_W03,Winter,W03,4013,1/22/2018,Inulin,Antibiotics,Female,Isoflurane,125.4,36,439.3082191,318.3392892
CC1_W04,Winter,W04,4056,1/30/2018,Saline,Antibiotics,Male,Isoflurane,157.5,37,8.397999066,5.914083849
CT1_W04,Winter,W04,4056,1/30/2018,Saline,Antibiotics,Male,Isoflurane,157.5,37,496.5690129,302.7859835
CC1_W07,Winter,W07,4040,1/29/2018,Inulin,Antibiotics,Male,Isoflurane,153.9,36.5,3.166626785,2.595595725
CT1_W07,Winter,W07,4040,1/29/2018,Inulin,Antibiotics,Male,Isoflurane,153.9,36.5,488.9583974,376.1218442
CC1_W08,Winter,W08,3986,1/31/2018,Saline,Antibiotics,Female,Isoflurane,142,38,3.102815666,3.102815666
CT1_W08,Winter,W08,3986,1/31/2018,Saline,Antibiotics,Female,Isoflurane,142,38,262.1389259,189.9557434
CC2_W13,Winter,W13,4028,1/23/2018,Inulin,Antibiotics,Male,Isoflurane,133.8,38,1.133508,0.736044156
CT1_W13,Winter,W13,4028,1/23/2018,Inulin,Antibiotics,Male,Isoflurane,133.8,38,236.5626318,207.5110805
CC1_W14,Winter,W14,4006,1/19/2018,Inulin,Antibiotics,Female,Isoflurane,134.9,37.5,9.928896182,9.026269256
CT1_W14,Winter,W14,4006,1/19/2018,Inulin,Antibiotics,Female,Isoflurane,134.9,37.5,351.7251792,351.7251792
CC2_W15,Winter,W15,4042,2/1/2018,Saline,Antibiotics,Female,Isoflurane,137.3,37.5,2.981926,1.296489565
CT1_W15,Winter,W15,4042,2/1/2018,Saline,Antibiotics,Female,Isoflurane,137.3,37.5,282.5562051,247.8563202
CC2_W17,Winter,W17,4035,2/9/2018,Saline,Antibiotics,Male,Isoflurane,150.3,38,7.114157,5.557935156
CT1_W17,Winter,W17,4035,2/9/2018,Saline,Antibiotics,Male,Isoflurane,150.3,38,318.5775818,318.5775818
CC2_W18,Winter,W18,4048,1/24/2018,Inulin,Antibiotics,Female,Isoflurane,134.2,38,2.967816,2.3934
CT1_W18,Winter,W18,4048,1/24/2018,Inulin,Antibiotics,Female,Isoflurane,134.2,38,312.9690402,230.1242943
CC1_W20,Winter,W20,3997,2/15/2018,Saline,No Antibiotics,Female,Isoflurane,128.6,37,77.4,69.10714286
CT1_W20,Winter,W20,3997,2/15/2018,Saline,No Antibiotics,Female,Isoflurane,128.6,37,355.7965,348.820098
CC1_W21,Winter,W21,4011,2/7/2018,Saline,No Antibiotics,Female,Isoflurane,141.8,36.5,69.1,69.1
CT1_W21,Winter,W21,4011,2/7/2018,Saline,No Antibiotics,Female,Isoflurane,141.8,36.5,167.6323,142.0612712
CC1_W22,Winter,W22,3970,2/12/2018,Saline,No Antibiotics,Male,Isoflurane,185.8,36,96.6,96.6
CT1_W22,Winter,W22,3970,2/12/2018,Saline,No Antibiotics,Male,Isoflurane,185.8,36,224.188,207.5814815
CC1_W26,Winter,W26,3976,1/10/2018,Saline,No Antibiotics,Female,Isoflurane,114,36.5,118,115.6862745
CT1_W26,Winter,W26,3976,1/10/2018,Saline,No Antibiotics,Female,Isoflurane,114,36.5,311.3472,283.0429091
CC1_W31,Winter,W31,4054,1/25/2018,Inulin,No Antibiotics,Female,Isoflurane,116.5,37.5,127,115.4545455
CT1_W31,Winter,W31,4054,1/25/2018,Inulin,No Antibiotics,Female,Isoflurane,116.5,37.5,220.2673,203.9512037
CC1_W32,Winter,W32,3989,1/26/2018,Inulin,No Antibiotics,Female,Isoflurane,126.3,38,119,108.1818182
CT1_W32,Winter,W32,3989,1/26/2018,Inulin,No Antibiotics,Female,Isoflurane,126.3,38,165.2472,142.4544828
CC1_W33,Winter,W33,4050,2/2/2018,Inulin,No Antibiotics,Male,Isoflurane,141.3,38,138,135.2941176
CT1_W33,Winter,W33,4050,2/2/2018,Inulin,No Antibiotics,Male,Isoflurane,141.3,38,399.7161,327.6361475
CC1_W34,Winter,W34,3975,2/5/2018,Inulin,No Antibiotics,Female,Isoflurane,116.6,35.5,82.5,77.83018868
CT1_W34,Winter,W34,3975,2/5/2018,Inulin,No Antibiotics,Female,Isoflurane,116.6,35.5,328.6795,288.3153509
CC1_W35,Winter,W35,4014,2/6/2018,Inulin,No Antibiotics,Male,Isoflurane,138.1,35.5,154,137.5
CT1_W35,Winter,W35,4014,2/6/2018,Inulin,No Antibiotics,Male,Isoflurane,138.1,35.5,236.5016,193.8537705
CC1_W36,Winter,W36,4017,2/13/2018,Saline,No Antibiotics,Female,Isoflurane,133.6,37,136,136
CT1_W36,Winter,W36,4017,2/13/2018,Saline,No Antibiotics,Female,Isoflurane,133.6,37,310.6979,310.6979
CC2_W37,Winter,W37,4004,2/14/2018,Saline,No Antibiotics,Male,Isoflurane,144.6,36,80.6,52.33766234
CT1_W37,Winter,W37,4004,2/14/2018,Saline,No Antibiotics,Male,Isoflurane,144.6,36,139.5657,136.8291176
CC1_W41,Winter,W41,4161,1/7/2019,Saline,No Antibiotics,Female,Isoflurane,101.5,36.5,104.8921135,97.12232729
CT1_W41,Winter,W41,4161,1/7/2019,Saline,No Antibiotics,Female,Isoflurane,101.5,36.5,331.7923247,199.8748944
CC1_W42,Winter,W42,4152,1/7/2019,Inulin,Antibiotics,Female,Isoflurane,115.8,37,9.560657882,6.928012958
CT1_W42,Winter,W42,4152,1/7/2019,Inulin,Antibiotics,Female,Isoflurane,115.8,37,252.0141334,225.0126191
CC1_W43,Winter,W43,4172,1/8/2019,Saline,Antibiotics,Male,Isoflurane,157.2,37,6.469922543,5.054626987
CT1_W43,Winter,W43,4172,1/8/2019,Saline,Antibiotics,Male,Isoflurane,157.2,37,336.8471482,189.2399709
CC1_W44,Winter,W44,4173,1/8/2019,Inulin,No Antibiotics,Female,Isoflurane,110.3,36.5,122.4577507,181.6880575
CT1_W44,Winter,W44,4173,1/8/2019,Inulin,No Antibiotics,Female,Isoflurane,110.3,36.5,243.459662,206.3217475
CT1_W46,Winter,W46,4188,1/9/2019,Inulin,No Antibiotics,Female,Isoflurane,124.7,36,292.8485565,281.5851505
CC1_W47,Winter,W47,4117,1/10/2019,Saline,Antibiotics,Female,Isoflurane,132.5,37,3.138768736,2.906267348
CT1_W47,Winter,W47,4117,1/10/2019,Saline,Antibiotics,Female,Isoflurane,132.5,37,255.8341716,196.7955166
CC2_W50,Winter,W50,4148,1/14/2019,Saline,Antibiotics,Female,Isoflurane,119.2,34.5,6.847148174,5.034667775
CT1_W50,Winter,W50,4148,1/14/2019,Saline,Antibiotics,Female,Isoflurane,119.2,34.5,354.8659592,295.7216326
CC1_W51,Winter,W51,4115,1/14/2019,Inulin,Antibiotics,Male,Isoflurane,121.6,34,5.039985917,4.581805379
CT1_W51,Winter,W51,4115,1/14/2019,Inulin,Antibiotics,Male,Isoflurane,121.6,34,328.6658787,225.1136155
