Number,ID,Season,Sex,Antibiotics,Substrate,Diet,Mom,Mom_Location,BodyMass,BodyTemp,Ketones,Date_Sampled,
4028,W13,Winter,Male,Yes,Inulin,1,3946,AgStation,133.8,38,2.8,1/23/2018,
4006,W14,Winter,Female,Yes,Inulin,1,3955,AgStation,134.9,37.5,1.7,1/19/2018,
4042,W15,Winter,Female,Yes,Saline,1,3956,AgStation,137.3,37.5,2.8,2/1/2018,
4035,W17,Winter,Male,Yes,Saline,1,3949,AgStation,150.3,38,1.3,2/9/2018,
4048,W18,Winter,Female,Yes,Inulin,1,3954,AgStation,134.2,38,1.2,1/24/2018,
3997,W20,Winter,Female,No,Saline,1,3948,AgStation,128.6,37,1.3,2/15/2018,
4011,W21,Winter,Male,No,Saline,1,3957,AgStation,141.8,36.5,1.2,2/7/2018,
3970,W22,Winter,Male,No,Saline,1,3958,AgStation,185.8,36,1.2,2/12/2018,
3976,W26,Winter,Female,No,Saline,1,3959,AgStation,114,36.5,1.6,1/10/2018,
4054,W31,Winter,Female,No,Inulin,1,3945,AgStation,116.5,37.5,3.2,1/25/2018,
3989,W32,Winter,Female,No,Inulin,1,3961,AgStation,126.3,38,3.9,1/26/2018,
4050,W33,Winter,Male,No,Inulin,1,3954,AgStation,141.3,38,1.5,2/2/2018,
3975,W34,Winter,Female,No,Inulin,1,3959,AgStation,116.6,35.5,1.2,2/5/2018,
4014,W35,Winter,Male,No,Inulin,1,3957,AgStation,138.1,35.5,0.8,2/6/2018,
4017,W36,Winter,Female,No,Saline,1,3947,AgStation,133.6,37,1.4,2/13/2018,
4004,W37,Winter,Male,No,Saline,1,3955,AgStation,134.6,36,1.5,2/14/2018,
4152,W41,Winter,Female,No,Saline,2,4063,AgStation,101.5,36.5,5.5,1/7/2019,
4161,W42,Winter,Female,Yes,Inulin,2,4062,AgStation,115.8,37,2.3,1/7/2019,
4172,W43,Winter,Male,Yes,Saline,2,4064,AgStation,157.2,37,2.2,1/8/2019,
4173,W44,Winter,Female,No,Inulin,2,4064,AgStation,110.3,36.5,2.7,1/8/2019,
4188,W46,Winter,Female,No,Inulin,2,4077,AgStation,124.7,36,1.3,1/9/2019,
4117,W47,Winter,Female,Yes,Saline,2,4070,AgStation,132.5,37,1.4,1/10/2019,
4148,W50,Winter,Female,Yes,Saline,2,4061,AgStation,119.2,34.5,3.3,1/14/2019,
4115,W51,Winter,Male,Yes,Inulin,2,4066,AgStation,121.6,34,2.2,1/14/2019,
