"","I.S07","I.S29","I.S34","S.S05","S.S08","S.S32"
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Tissierellaceae*NA*NA",314,2386,303,589,223,355
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Sporomusaceae*NA*NA",535,1064,1325,714,324,830
"Bacteria*Firmicutes*Bacilli*Bacillales*Staphylococcaceae*NA*NA",59,20,30,99,24,39
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*NA*NA",43,249,18,165,18,25
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*NA*NA",193,120,99,197,83,140
"Bacteria*Firmicutes*Clostridia*Clostridiales*Heliobacteriaceae*NA*NA",27,22,23,35,6,10
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*NA*NA",144,173,91,266,77,77
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacterales Family III. Incertae Sedis*NA*NA",10,4,6,2,11,8
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*NA*NA",132,141,124,184,37,20
"Bacteria*Firmicutes*Clostridia*Clostridiales*Syntrophomonadaceae*NA*NA",14,6,14,15,11,27
"Bacteria*Firmicutes*Bacilli*Bacillales*Listeriaceae*NA*NA",61,26,27,20,37,16
"Bacteria*Firmicutes*Bacilli*Bacillales*Alicyclobacillaceae*NA*NA",75,18,12,19,6,4
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*NA*NA",162,161,178,284,77,152
"Bacteria*Firmicutes*Clostridia*Halanaerobiales*Halanaerobiaceae*NA*NA",1,3,6,8,6,5
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae*NA*NA",37,8,66,97,16,45
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Gottschalkiaceae*NA*NA",4,7,3,8,3,6
"Bacteria*Firmicutes*Clostridia*Halanaerobiales*Halobacteroidaceae*NA*NA",24,19,16,42,12,10
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*NA",402450,154704,137731,333178,79532,180849
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Pseudoflavonifractor*NA",14406,40238,25603,64939,16575,7401
"Bacteria*Firmicutes*Clostridia*Clostridiales*Oscillospiraceae*Oscillibacter*NA",11835,29736,41788,30106,6074,10713
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*NA",61646,85091,105458,144707,24898,69293
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*NA",85047,32697,22231,191389,20266,13916
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*NA",72412,573284,44310,71624,15939,16567
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*NA",56347,76941,41162,73354,39111,59714
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Flavonifractor*NA",12873,20770,24302,36466,10942,7637
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Butyrivibrio*NA",35055,34692,42355,95478,18059,52654
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*NA",134219,27988,23837,321991,29365,73977
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnoclostridium*NA",5290,6357,3572,11689,2244,4561
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Anaerotruncus*NA",13831,22835,25382,27526,6459,9511
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Dorea*NA",14537,10820,10082,21967,6502,8722
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Faecalibacterium*NA",61900,55330,19232,40160,17913,12625
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Enterocloster*NA",1197,2705,1108,3225,1379,1790
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Butyricicoccus*NA",2761,3545,7105,12885,1292,1255
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Neglecta*NA",4504,7397,39024,29114,6445,3553
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Acutalibacter*NA",550,482,924,1479,371,193
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*Intestinimonas*NA",257,307,405,367,107,108
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Eisenbergiella*NA",1447,3289,1006,2241,1071,2797
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Hungatella*NA",2994,5721,2387,6344,5308,7090
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Coprococcus*NA",15263,11629,17707,37370,5965,10660
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*NA",6431,8283,5389,10696,2968,5767
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Subdoligranulum*NA",1785,1590,1690,3845,1779,1637
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnotalea*NA",5,1,9,1,2,15
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Pseudobutyrivibrio*NA",6618,6293,8382,12095,2244,6122
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Anaerocolumna*NA",992,756,950,1406,400,1424
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*NA",2426,4542,1919,3669,1648,1697
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Anaeromassilibacillus*NA",736,586,415,799,290,235
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Anaerostipes*NA",1306,1127,1654,6629,590,1245
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Oribacterium*NA",2386,2570,2444,4689,1361,1883
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lacrimispora*NA",256,183,304,300,119,159
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*NA",3747,4336,4888,6361,1596,3113
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Lactonifactor*NA",11580,7366,5426,13588,4610,7195
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Gemmiger*NA",1139,835,1093,2845,723,1554
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnospira*NA",1582,1865,1488,2951,404,834
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Agathobaculum*NA",92,83,644,1634,67,59
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*NA",3709,2936,2826,6674,1616,2216
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Selenomonadaceae*Selenomonas*NA",2240,3667,3222,3208,904,2129
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Robinsoniella*NA",12818,12404,6189,14841,5044,7984
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Anaerotignum*NA",664,835,791,610,390,902
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Faecalicatena*NA",56,209,32,76,202,461
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Drancourtella*NA",4320,3459,2124,5552,2284,2328
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Herbinix*NA",303,157,1595,826,36,159
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Intestinibacillus*NA",29,37,46,121,12,13
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiales Family XIII. Incertae Sedis*Emergencia*NA",84,88,52,164,35,46
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Erysipelatoclostridium*NA",1143,626,848,1233,1049,1277
"Bacteria*Firmicutes*Clostridia*Clostridiales*Hungateiclostridiaceae*Ruminiclostridium*NA",429,321,420,436,123,358
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Dialister*NA",491,482,297,580,189,376
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Cellulosilyticum*NA",1432,1415,1743,3187,667,1812
"Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Acidaminococcus*NA",1905,1730,1756,2351,682,992
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfosporosinus*NA",540,691,585,890,283,232
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Megasphaera*NA",1233,1158,1207,1402,446,625
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Holdemania*NA",1793,1317,451,1521,1737,762
"Bacteria*Firmicutes*Clostridia*Clostridiales*Hungateiclostridiaceae*Hungateiclostridium*NA",230,256,542,634,110,241
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnoanaerobaculum*NA",601,614,1091,1411,908,2613
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Coprobacillus*NA",1350,874,636,1931,1157,1372
"Bacteria*Firmicutes*Clostridia*Clostridiales*Christensenellaceae*Christensenella*NA",326,289,215,465,121,101
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Massilimaliae*NA",1,4,6,9,7,4
"Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Phascolarctobacterium*NA",691,872,434,697,176,338
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfitobacterium*NA",855,616,494,1336,293,570
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiales Family XIII. Incertae Sedis*Aminipila*NA",388,400,279,537,296,261
"Bacteria*Firmicutes*Bacilli*Bacillales*Staphylococcaceae*Staphylococcus*NA",353,220,316,689,160,218
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Caproiciproducens*NA",1,4,2,11,4,6
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Acetobacterium*NA",655,494,370,864,323,611
"Bacteria*Firmicutes*Clostridia*Clostridiales*Hungateiclostridiaceae*Thermoclostridium*NA",147,42,4,60,13,4
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Epulopiscium*NA",588,875,1728,1313,426,1578
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Candidatus Stoquefichus*NA",72,237,68,153,155,175
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Veillonella*NA",1006,951,1015,954,347,908
"Bacteria*Firmicutes*Clostridia*Clostridiales*Defluviitaleaceae*Defluviitalea*NA",62,15,591,137,9,881
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Massilimicrobiota*NA",1420,682,2775,1578,1050,594
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Anaerobutyricum*NA",114,46,670,104,124,68
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Peptoniphilus*NA",669,486,819,853,245,438
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Peptostreptococcus*NA",320,308,270,659,146,320
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Dehalobacter*NA",1012,1100,610,1047,327,560
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Selenomonadaceae*Anaerovibrio*NA",235,734,517,398,68,411
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Sporomusaceae*Sporomusa*NA",412,794,1044,722,251,529
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Absiella*NA",1352,992,871,2025,646,1595
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Cohnella*NA",430,382,182,573,148,278
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Shuttleworthia*NA",1155,1066,897,1759,442,1622
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Virgibacillus*NA",177,132,34,95,52,33
"Bacteria*Firmicutes*Clostridia*Clostridiales*Heliobacteriaceae*Heliobacterium*NA",91,62,89,94,30,104
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Pelotomaculum*NA",294,359,398,538,175,355
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Massilioclostridium*NA",1524,1012,557,1460,455,764
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Anaerococcus*NA",333,531,247,620,191,224
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Tissierellaceae*Tissierella*NA",136,58,67,113,26,67
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Catenibacterium*NA",583,603,258,711,344,484
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Selenomonadaceae*Mitsuokella*NA",298,563,435,645,133,266
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Alkaliphilus*NA",51,42,26,91,13,19
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*Natranaerovirga*NA",13,17,53,79,9,47
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Selenomonadaceae*Megamonas*NA",916,1407,1453,856,315,819
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Vagococcus*NA",267,89,70,374,96,34
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfotomaculum*NA",156,118,92,124,53,108
"Bacteria*Firmicutes*Bacilli*Bacillales*Listeriaceae*Listeria*NA",222,516,169,352,190,101
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiales Family XIII. Incertae Sedis*Mogibacterium*NA",342,237,210,783,150,133
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Romboutsia*NA",319,233,185,407,121,220
"Bacteria*Firmicutes*Bacilli*Bacillales*Sporolactobacillaceae*Sporolactobacillus*NA",98,52,472,203,60,108
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Lysinibacillus*NA",378,519,580,378,165,443
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Anaerosphaera*NA",28,24,28,33,7,12
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Erysipelothrix*NA",263,114,152,526,146,35
"Bacteria*Firmicutes*Tissierellia*NA*NA*Sedimentibacter*NA",469,636,683,1009,256,509
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Brevibacillus*NA",191,328,210,292,96,95
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Caloramator*NA",203,95,201,301,70,224
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Murdochiella*NA",134,205,143,324,109,364
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Peptoclostridium*NA",7,3,6,8,4,7
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Lactococcus*NA",158,324,94,253,67,109
"Bacteria*Firmicutes*Clostridia*Halanaerobiales*Halanaerobiaceae*Halanaerobium*NA",409,449,218,511,133,199
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Gracilibacillus*NA",232,133,105,203,54,40
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Oceanobacillus*NA",244,262,103,186,103,60
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Sporomusaceae*Pelosinus*NA",121,319,394,173,69,294
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacterales Family III. Incertae Sedis*Caldicellulosiruptor*NA",330,245,395,511,134,430
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Geosporobacter*NA",88,49,140,88,26,69
"Bacteria*Firmicutes*Bacilli*Bacillales*Alicyclobacillaceae*Alicyclobacillus*NA",203,228,119,250,90,57
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Trichococcus*NA",217,192,121,415,75,66
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Halobacillus*NA",92,79,52,215,47,49
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Granulicatella*NA",400,143,238,305,121,94
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Sporomusaceae*Propionispora*NA",77,235,304,237,74,269
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Carnobacterium*NA",190,115,455,183,57,42
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacterales Family III. Incertae Sedis*Thermoanaerobacterium*NA",164,88,716,296,46,255
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Selenomonadaceae*Propionispira*NA",236,991,1360,235,122,932
"Bacteria*Firmicutes*Tissierellia*NA*NA*Kallipyga*NA",177,80,33,101,87,166
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Tissierellaceae*Sporanaerobacter*NA",72,56,90,120,35,104
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Terrisporobacter*NA",59,35,16,37,41,23
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Moorella*NA",238,142,78,267,76,71
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Turicibacter*NA",470,219,204,1990,201,526
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfallas*NA",52,66,50,53,15,34
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Aneurinibacillus*NA",134,99,102,181,39,53
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Gottschalkiaceae*Gottschalkia*NA",2,1,1,18,1,2
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Tepidanaerobacter*NA",20,16,30,39,10,8
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Geobacillus*NA",165,93,43,148,50,35
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfitibacter*NA",37,16,11,14,20,14
"Bacteria*Firmicutes*Clostridia*Clostridiales*Caldicoprobacteraceae*Caldicoprobacter*NA",363,478,701,485,170,273
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Caldanaerobius*NA",122,36,34,84,19,28
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Acetoanaerobium*NA",213,111,160,282,86,195
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Candidatus Arthromitus*NA",383,214,214,269,34,502
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Aerococcus*NA",187,100,367,243,92,142
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Finegoldia*NA",192,108,115,181,68,85
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Tissierellaceae*Anaerosalibacter*NA",57,12,13,29,9,13
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Jeotgalibaca*NA",101,61,59,70,20,66
"Bacteria*Firmicutes*Clostridia*Halanaerobiales*Halobacteroidaceae*Orenia*NA",16,4,5,15,13,4
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Facklamia*NA",265,620,143,1474,264,71
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Saccharibacillus*NA",73,146,117,119,49,56
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Tepidibacter*NA",36,59,29,116,18,49
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Parvimonas*NA",107,97,76,184,39,33
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Tetragenococcus*NA",31,20,26,64,28,89
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Alkalibacterium*NA",46,46,50,81,86,212
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Amphibacillus*NA",42,18,4,10,3,3
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Tepidibacillus*NA",42,110,65,92,35,54
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiales Family XVI. Incertae Sedis*Carboxydocella*NA",239,115,84,307,112,96
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Sporosarcina*NA",96,100,61,170,38,30
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Helcococcus*NA",21,48,8,39,13,28
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Anaerobacillus*NA",22,16,33,38,11,32
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Alkalicoccus*NA",11,55,4,18,10,7
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Planococcus*NA",40,32,21,42,21,26
"Bacteria*Firmicutes*Bacilli*Bacillales*NA*Exiguobacterium*NA",143,156,115,444,107,109
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Halolactibacillus*NA",71,150,55,103,31,121
"Bacteria*Firmicutes*Bacilli*Bacillales*NA*Gemella*NA",154,96,23,107,50,42
"Bacteria*Firmicutes*Bacilli*Bacillales*Alicyclobacillaceae*Tumebacillus*NA",90,20,70,106,41,35
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfofarcimen*NA",8,3,1,6,3,3
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Parageobacillus*NA",41,5,2,18,3,11
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*Proteiniborus*NA",11,1,13,20,5,14
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Globicatella*NA",40,29,50,73,31,37
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Tindallia*NA",67,35,36,109,33,39
"Bacteria*Firmicutes*Clostridia*Clostridiales*Heliobacteriaceae*Heliorestis*NA",22,30,4,26,7,12
"Bacteria*Firmicutes*Clostridia*Clostridiales*Proteinivoraceae*Anaerobranca*NA",51,23,69,52,21,74
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Tissierellaceae*Soehngenia*NA",65,57,16,100,28,25
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae*Weissella*NA",40,60,56,105,13,51
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Paraclostridium*NA",162,117,17,66,69,20
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Thermoanaerobacter*NA",258,100,313,211,72,170
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Pediococcus*NA",20,17,23,58,22,17
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Terrilactibacillus*NA",33,22,29,37,7,42
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae*Leuconostoc*NA",51,23,22,141,45,72
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Domibacillus*NA",25,19,32,65,4,11
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfofundulus*NA",132,83,91,179,77,68
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Caloranaerobacter*NA",99,86,167,152,30,187
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Marinilactibacillus*NA",56,19,8,35,17,18
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Rummeliibacillus*NA",47,39,20,74,16,32
"Bacteria*Firmicutes*Bacilli*Bacillales*NA*Desulfuribacillus*NA",7,14,4,8,2,5
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Ureibacillus*NA",90,17,7,45,11,16
