,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;,0.533918,0.823843,0.756907,0.982281,1.007245,0.244951,4.094204,1.727687,0.682866,0.907730,0.709093,0.432688,0.670116,1.764774,0.607395,5.081683,2.595437,2.241225
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;NA;NA;,0.287681,0.104925,0.285969,0.662602,0.121130,0.141259,0.018713,0.021515,0.017000,0.385781,0.680228,0.071799,1.046277,0.270172,0.413729,0.010019,0.014858,0.016960
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;NA;NA;,0.157004,0.294986,0.224776,0.320135,0.312708,0.422009,0.220216,0.223216,0.704922,0.144581,0.222069,0.273001,0.052375,0.170862,0.333734,0.251861,0.992314,0.103192
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;NA;NA;,0.131269,0.279332,0.152762,0.158912,0.424290,0.240328,0.779450,1.380242,0.521148,0.173759,0.869821,0.303472,0.269502,0.136272,0.080091,1.093150,1.699643,0.963473
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA;NA;,0.116750,0.119760,0.171990,0.143962,0.089896,0.106869,0.099217,0.154733,0.130486,0.109015,0.157396,0.135748,0.176945,0.159318,0.112043,0.075299,0.095392,0.200368
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;,0.090094,0.140314,0.065585,0.104523,0.162427,0.045784,0.073761,0.123443,0.192123,0.181922,0.153260,0.073421,0.068091,0.309881,0.059849,0.042483,0.211829,0.167486
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;NA;NA;,0.084012,0.126006,0.075551,0.085975,0.117491,0.044452,0.102106,0.312052,0.121801,0.110534,0.119676,0.088866,0.068868,0.130793,0.040869,0.063580,0.185684,0.152101
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;NA;NA;,0.082195,0.075940,0.103335,0.182712,0.042564,0.008538,0.004893,0.146172,0.025468,0.064612,0.053775,0.087106,0.037982,0.081056,0.033727,0.004969,0.437137,0.061005
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;NA;NA;,0.078309,0.064563,0.084410,0.070034,0.060767,0.059594,0.036746,0.041011,0.037556,0.048551,0.069410,0.064575,0.123233,0.079100,0.112392,0.050730,0.032902,0.027973
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;,0.065704,0.067913,0.060777,0.065828,0.058420,0.063634,0.034448,0.040367,0.041359,0.076506,0.048367,0.063901,0.072309,0.056380,0.069514,0.013766,0.026825,0.026489
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;,0.062540,0.079099,0.047313,0.060415,0.068328,0.029427,0.033140,0.065731,0.063386,0.069330,0.064970,0.053033,0.031759,0.100475,0.029753,0.073227,0.108114,0.070544
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;NA;,0.062410,0.080963,0.059788,0.077245,0.094960,0.035309,0.047930,0.092189,0.080508,0.074468,0.074560,0.064903,0.050053,0.081902,0.042054,0.043554,0.139128,0.092685
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;NA;,0.062248,0.030308,0.033454,0.031640,0.040763,0.137412,0.027930,0.031574,0.037485,0.044086,0.044692,0.055184,0.052069,0.039366,0.054190,0.009869,0.025775,0.028629
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;,0.057749,0.059537,0.054468,0.065590,0.049198,0.059590,0.039088,0.043196,0.050146,0.052743,0.051685,0.059445,0.065417,0.052522,0.057826,0.014760,0.047105,0.040976
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XIII. Incertae Sedis;NA;NA;,0.050239,0.038595,0.045171,0.067705,0.041650,0.050383,0.069026,0.126710,0.110312,0.039922,0.046608,0.054071,0.065928,0.063861,0.048609,0.047173,0.079921,0.038340
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;NA;,0.047063,0.099664,0.206941,0.079170,0.073855,0.013748,0.005184,0.043982,0.010122,0.217092,0.070148,0.114580,0.023472,0.335324,0.261997,0.004000,0.305281,0.021132
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;NA;NA;,0.044309,0.029850,0.035411,0.043013,0.033300,0.049647,0.034257,0.041692,0.037060,0.036867,0.032155,0.043422,0.048551,0.034222,0.036189,0.021457,0.027603,0.027595
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;NA;NA;,0.042064,0.035407,0.042027,0.046296,0.031910,0.034974,0.151911,0.063500,0.064774,0.037017,0.037403,0.038072,0.057296,0.045879,0.037369,0.023854,0.065564,0.038738
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;NA;NA;,0.040326,0.029624,0.025371,0.046185,0.046698,0.026339,0.020110,0.038320,0.022162,0.041439,0.032109,0.034612,0.049700,0.046126,0.030343,0.007822,0.017604,0.017752
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;NA;NA;,0.038654,0.042819,0.029408,0.030293,0.039646,0.057545,0.017875,0.020128,0.019585,0.028345,0.027613,0.033438,0.036436,0.025317,0.041427,0.007266,0.015966,0.013855
Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;NA;NA;,0.037486,0.044045,0.030183,0.042471,0.027331,0.038931,0.021224,0.019006,0.023743,0.030330,0.029991,0.037221,0.043921,0.025643,0.032952,0.005210,0.014383,0.014288
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;NA;NA;,0.036708,0.036526,0.030542,0.026710,0.039074,0.049054,0.018257,0.020831,0.016050,0.018828,0.018649,0.030083,0.030189,0.026322,0.041671,0.007116,0.015086,0.014267
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;NA;,0.034039,0.040059,0.033296,0.043963,0.047913,0.019970,0.021724,0.050969,0.038012,0.040757,0.041388,0.030414,0.024683,0.044245,0.021688,0.036873,0.079086,0.048619
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;NA;NA;,0.031373,0.035271,0.033717,0.035917,0.027330,0.027476,0.021033,0.037541,0.020155,0.029036,0.033550,0.035502,0.040603,0.029677,0.032834,0.007331,0.020443,0.018182
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;NA;NA;,0.026198,0.023341,0.026124,0.030281,0.020628,0.020856,0.019787,0.033026,0.019360,0.026401,0.023900,0.027267,0.034276,0.021710,0.024459,0.012125,0.015179,0.030542
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;NA;NA;,0.025735,0.023747,0.016333,0.016219,0.012305,0.018035,0.012735,0.014744,0.012938,0.013076,0.013509,0.026542,0.023998,0.016805,0.018111,0.002581,0.016120,0.009323
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;NA;NA;,0.023328,0.024475,0.020344,0.023072,0.019394,0.025355,0.020184,0.025571,0.027543,0.024948,0.022124,0.031630,0.030639,0.020985,0.018105,0.004028,0.020360,0.014634
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;NA;NA;,0.022316,0.026733,0.022358,0.028825,0.029066,0.012390,0.015779,0.030169,0.026118,0.028733,0.027187,0.023963,0.017556,0.028186,0.014506,0.022432,0.051727,0.031241
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA;,0.021687,0.019787,0.024013,0.022431,0.018063,0.018952,0.013309,0.014488,0.015326,0.021765,0.017065,0.024381,0.025106,0.023859,0.023163,0.007375,0.011463,0.008440
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;NA;NA;,0.021365,0.026688,0.014362,0.020083,0.023333,0.009685,0.012452,0.020165,0.023228,0.019994,0.024603,0.018725,0.012788,0.029036,0.010057,0.011672,0.042779,0.024526
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;NA;NA;,0.021002,0.027126,0.018649,0.025280,0.030566,0.010496,0.018015,0.024785,0.026121,0.025465,0.026445,0.021589,0.015888,0.031993,0.010904,0.017476,0.054785,0.034942
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;NA;NA;,0.020777,0.041594,0.015597,0.016821,0.022917,0.009978,0.010574,0.018658,0.021381,0.021046,0.026561,0.019263,0.014646,0.030779,0.007574,0.011694,0.030086,0.018314
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;NA;NA;,0.020222,0.023153,0.184916,0.023141,0.016763,0.021273,0.015136,0.397563,0.014751,0.419499,0.016125,0.036875,0.021665,0.015708,0.015611,0.005775,0.025493,0.010849
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;NA;NA;,0.020067,0.020683,0.018351,0.038006,0.027671,0.023908,0.042827,0.021718,0.028335,0.013391,0.020219,0.018845,0.023755,0.028860,0.028138,0.003500,0.012950,0.026083
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;NA;NA;,0.020064,0.015597,0.004374,0.050868,0.058117,0.000209,0.000379,0.001680,0.014867,0.022481,0.000538,0.000466,0.008637,0.029987,0.000697,0.000244,0.005968,0.033744
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;NA;NA;,0.019280,0.036709,0.002259,0.034413,0.003418,0.005019,0.006176,0.038364,0.002739,0.003267,0.005115,0.017467,0.029539,0.003690,0.002360,0.000241,0.020533,0.004487
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;NA;NA;,0.018497,0.010086,0.015562,0.012603,0.012736,0.014329,0.013732,0.017681,0.011778,0.011358,0.010926,0.016197,0.016474,0.012780,0.012084,0.004256,0.011453,0.008995
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;NA;NA;,0.018099,0.018826,0.015930,0.017747,0.013181,0.022525,0.014721,0.010842,0.017025,0.014317,0.018348,0.016134,0.019198,0.016060,0.019781,0.004985,0.013082,0.014201
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;NA;NA;,0.017225,0.021882,0.014165,0.018740,0.017936,0.011033,0.010210,0.016867,0.009959,0.015577,0.019366,0.020593,0.015685,0.011976,0.009389,0.010072,0.014521,0.009285
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;NA;NA;,0.016551,0.006715,0.034343,0.006948,0.029644,0.096174,0.041757,0.005156,0.009554,0.004655,0.013754,0.006141,0.015186,0.006731,0.048657,0.005703,0.005463,0.057433
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;NA;NA;,0.015736,0.022126,0.015278,0.019087,0.021918,0.009326,0.013544,0.017900,0.020460,0.017842,0.016513,0.017046,0.011436,0.024035,0.008566,0.012050,0.030892,0.019659
Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;NA;NA;,0.015320,0.016416,0.016521,0.016200,0.010639,0.016073,0.011390,0.012941,0.013402,0.012490,0.011688,0.018478,0.016401,0.013349,0.012468,0.003859,0.010384,0.011373
Eukaryota;Preaxostyla;NA;Oxymonadida;Streblomastigidae;NA;NA;,0.015222,0.042102,0.041686,0.003994,0.024966,0.007570,0.014831,0.003436,0.004609,0.001239,0.006174,0.027387,0.001256,0.057628,0.012760,0.002881,0.001863,0.001795
Bacteria;Firmicutes;Tissierellia;Tissierellales;Tissierellaceae;NA;NA;,0.012190,0.007821,0.009839,0.008937,0.009826,0.008965,0.006467,0.005603,0.005379,0.009676,0.008052,0.008260,0.011339,0.009236,0.013798,0.002134,0.005017,0.004431
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;NA;NA;,0.012105,0.001440,0.001252,0.001259,0.000679,0.004229,0.001548,0.000505,0.003876,0.002551,0.000881,0.024126,0.018535,0.002212,0.000697,0.000147,0.000777,0.000552
Bacteria;Firmicutes;Clostridia;Candidatus Borkfalkiales;Candidatus Borkfalkiaceae;NA;NA;,0.011825,0.029399,0.037259,0.022637,0.005811,0.007347,0.002529,0.002324,0.003070,0.033013,0.015593,0.027935,0.025901,0.022355,0.011199,0.000128,0.004253,0.002092
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Sporomusaceae;NA;NA;,0.011158,0.015874,0.011052,0.010873,0.012489,0.020333,0.008051,0.010081,0.008283,0.008492,0.007734,0.011160,0.011021,0.011473,0.014807,0.002897,0.007117,0.005988
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;NA;NA;,0.010341,0.009633,0.020134,0.015286,0.010844,0.007357,0.103029,0.085994,0.096248,0.014237,0.023785,0.005323,0.013523,0.013224,0.006294,0.129870,0.060248,0.052712
Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;Brachyspiraceae;NA;NA;,0.010107,0.009570,0.009642,0.049918,0.017464,0.007551,0.082989,0.021395,0.033591,0.002772,0.025222,0.007763,0.011464,0.020588,0.021197,0.000538,0.013997,0.025130
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;NA;NA;,0.009682,0.012160,0.008578,0.010110,0.012680,0.005352,0.006482,0.012312,0.012644,0.009305,0.012747,0.009511,0.006918,0.010086,0.006461,0.005247,0.019001,0.012539
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA;NA;,0.008112,0.009562,0.010259,0.011964,0.007678,0.009106,0.004040,0.012500,0.006576,0.014386,0.010412,0.009057,0.011753,0.007908,0.011875,0.001397,0.003552,0.003785
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;NA;NA;,0.007453,0.005112,0.006870,0.007444,0.005425,0.005741,0.006066,0.005775,0.006040,0.006459,0.004758,0.008729,0.007564,0.005341,0.004291,0.001153,0.004297,0.003157
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;NA;NA;,0.007207,0.007834,0.005968,0.006915,0.003506,0.004862,0.015018,0.005045,0.008135,0.005419,0.005811,0.008329,0.009513,0.006145,0.006892,0.001497,0.003633,0.003296
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;NA;NA;,0.006955,0.004806,0.007299,0.007147,0.004078,0.003362,0.005897,0.014732,0.007160,0.006884,0.007101,0.006650,0.005130,0.006991,0.003886,0.002675,0.010227,0.009822
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;NA;NA;,0.006930,0.008761,0.007260,0.009020,0.006801,0.007758,0.004614,0.006546,0.006180,0.006929,0.007143,0.008542,0.008968,0.007259,0.007901,0.002984,0.004102,0.004379
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae;NA;NA;,0.006809,0.008769,0.005614,0.007544,0.009857,0.004497,0.007493,0.007187,0.007819,0.010016,0.011716,0.006358,0.006698,0.009366,0.002977,0.004153,0.018593,0.010220
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;NA;NA;,0.006305,0.007718,0.007785,0.008777,0.005085,0.006642,0.006835,0.007258,0.007006,0.005166,0.006143,0.008422,0.007075,0.005986,0.007069,0.002491,0.006234,0.006121
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;NA;NA;,0.006189,0.004031,0.006993,0.006057,0.005711,0.005552,0.006838,0.020384,0.004714,0.005200,0.005447,0.006484,0.008289,0.007037,0.004422,0.002988,0.004811,0.015542
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;NA;NA;,0.006187,0.006147,0.004738,0.008578,0.007252,0.003313,0.005140,0.008093,0.006755,0.006060,0.007094,0.007017,0.004975,0.007875,0.003712,0.003688,0.016551,0.008862
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;NA;NA;,0.005967,0.019240,0.005964,0.006632,0.004875,0.005099,0.004309,0.004185,0.005373,0.008380,0.006213,0.008918,0.007238,0.005232,0.005294,0.002175,0.004927,0.003198
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;NA;NA;,0.005918,0.004366,0.006205,0.004384,0.005744,0.010615,0.006294,0.004564,0.004087,0.002866,0.004234,0.004381,0.004454,0.003891,0.009242,0.001728,0.004069,0.008736
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;NA;NA;,0.005698,0.006487,0.006108,0.007563,0.007167,0.003270,0.004618,0.007646,0.011729,0.007080,0.006104,0.006000,0.004317,0.008386,0.003291,0.003541,0.012404,0.012200
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;NA;NA;,0.005451,0.003753,0.003713,0.004840,0.003027,0.003045,0.003820,0.003535,0.003007,0.002508,0.003143,0.004462,0.004899,0.003774,0.003634,0.001372,0.002634,0.002951
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;NA;NA;,0.005416,0.005238,0.005263,0.007604,0.006465,0.003195,0.013599,0.010519,0.006362,0.006980,0.007206,0.004772,0.004986,0.006983,0.004127,0.008060,0.010445,0.009560
Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;NA;NA;,0.004937,0.004885,0.004602,0.004683,0.002891,0.005516,0.002724,0.004432,0.003512,0.002644,0.004566,0.004896,0.005824,0.004126,0.005694,0.002047,0.002235,0.002772
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;NA;NA;,0.004745,0.006563,0.005325,0.005358,0.005821,0.004133,0.003702,0.004238,0.003834,0.004892,0.004272,0.006340,0.006273,0.004817,0.007340,0.001244,0.002653,0.002570
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;NA;NA;,0.004689,0.004908,0.003534,0.004481,0.003379,0.003252,0.003324,0.005923,0.004811,0.003897,0.004748,0.005395,0.003651,0.003351,0.002618,0.002097,0.004445,0.004557
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;NA;NA;,0.004659,0.004324,0.004681,0.005783,0.005437,0.005465,0.006217,0.036746,0.010298,0.006934,0.005021,0.004896,0.004803,0.008356,0.004602,0.003131,0.005923,0.004613
Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;NA;NA;,0.004629,0.023171,0.003862,0.003631,0.003132,0.018033,0.002228,0.001917,0.001821,0.002476,0.003293,0.004787,0.004547,0.002907,0.029176,0.000569,0.001359,0.001358
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;NA;NA;,0.004263,0.004521,0.005189,0.007620,0.007115,0.003934,0.004827,0.008186,0.005336,0.004997,0.005454,0.003770,0.004210,0.007845,0.003033,0.005556,0.007374,0.006072
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;NA;NA;,0.004259,0.003172,0.005841,0.004579,0.004537,0.004661,0.011213,0.011483,0.012966,0.003416,0.004570,0.003081,0.003414,0.004281,0.003186,0.011078,0.009077,0.008083
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis;NA;NA;,0.003655,0.004610,0.004322,0.004146,0.002802,0.004799,0.002092,0.001951,0.003121,0.003313,0.004437,0.003325,0.004029,0.003502,0.005632,0.000634,0.001930,0.001250
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;NA;NA;,0.003506,0.002891,0.003363,0.003405,0.002473,0.002265,0.002647,0.005834,0.002802,0.003694,0.002954,0.003102,0.003588,0.002631,0.003535,0.000678,0.002313,0.002133
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;NA;NA;,0.003481,0.008674,0.065594,0.024141,0.001667,0.001873,0.004717,0.003251,0.016504,0.003420,0.008311,0.018090,0.008874,0.050692,0.001491,0.000428,0.007175,0.006690
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;NA;NA;,0.003481,0.003015,0.003367,0.003474,0.002566,0.003969,0.002721,0.005480,0.004866,0.002950,0.003143,0.003662,0.001989,0.002970,0.001888,0.001116,0.004143,0.006219
Eukaryota;Chytridiomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;NA;NA;,0.003361,0.004657,0.002908,0.004137,0.003049,0.002023,0.000801,0.001282,0.002343,0.002875,0.003077,0.003596,0.003004,0.002199,0.002199,0.000119,0.000989,0.000436
Eukaryota;Parabasalia;NA;Tritrichomonadida;Tritrichomonadidae;NA;NA;,0.003192,0.004107,0.009200,0.003662,0.000818,0.000216,0.000647,0.000709,0.000339,0.002800,0.010177,0.002019,0.000471,0.003761,0.000738,0.000072,0.001143,0.000244
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;NA;NA;,0.003118,0.003892,0.002872,0.003776,0.004726,0.001571,0.002746,0.003714,0.005250,0.003069,0.003262,0.003331,0.002480,0.003858,0.001429,0.002059,0.007529,0.005447
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;NA;NA;,0.003046,0.003753,0.003998,0.003987,0.003225,0.003130,0.003298,0.014053,0.004105,0.004837,0.003692,0.003767,0.003937,0.003313,0.002548,0.002850,0.004310,0.004061
Bacteria;Firmicutes;Clostridia;Clostridiales;Vallitaleaceae;NA;NA;,0.002930,0.008444,0.004055,0.003643,0.002813,0.008069,0.002121,0.002040,0.002178,0.003835,0.003024,0.003575,0.004200,0.002953,0.010081,0.000322,0.001105,0.001376
Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;NA;NA;,0.002912,0.003292,0.001629,0.003902,0.001043,0.002349,0.001761,0.001535,0.001907,0.003233,0.001958,0.005768,0.005247,0.002191,0.001204,0.000159,0.001950,0.001348
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;NA;NA;,0.002898,0.002389,0.002702,0.002545,0.003123,0.001986,0.004268,0.005976,0.004980,0.002857,0.002699,0.002221,0.002540,0.002982,0.001982,0.002531,0.004664,0.005943
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;NA;NA;,0.002879,0.002572,0.003486,0.003405,0.002803,0.002023,0.008191,0.010380,0.007451,0.003021,0.003570,0.002756,0.002576,0.002802,0.002365,0.008641,0.006527,0.005489
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;NA;NA;,0.002854,0.003586,0.003262,0.003552,0.003817,0.004168,0.001974,0.004660,0.002588,0.004219,0.003643,0.003758,0.005873,0.003736,0.003084,0.000653,0.001824,0.002420
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NA;NA;,0.002807,0.004659,0.002684,0.002744,0.003790,0.001388,0.001812,0.003899,0.003996,0.002325,0.002783,0.003719,0.002106,0.003795,0.001483,0.002144,0.005945,0.003705
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;NA;NA;,0.002687,0.002310,0.001721,0.002984,0.002515,0.002035,0.001949,0.002170,0.001779,0.001280,0.001843,0.002738,0.003042,0.002350,0.001633,0.000775,0.001840,0.001421
Eukaryota;Parabasalia;NA;Trichomonadida;Trichomonadidae;NA;NA;,0.002655,0.001990,0.008403,0.002999,0.000408,0.000176,0.000467,0.000545,0.000237,0.002362,0.008349,0.001670,0.000388,0.002249,0.000282,0.000059,0.001516,0.000203
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;NA;NA;,0.002641,0.002213,0.002058,0.002925,0.001415,0.005683,0.001515,0.002761,0.001391,0.003619,0.002164,0.002865,0.002868,0.002601,0.002371,0.000578,0.001471,0.000915
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;NA;NA;,0.002634,0.003216,0.001716,0.002780,0.002341,0.001730,0.001717,0.002228,0.001935,0.003156,0.001895,0.003427,0.002735,0.002400,0.001800,0.000869,0.001105,0.001407
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;NA;NA;,0.002608,0.002111,0.011880,0.006047,0.000785,0.000670,0.002338,0.010571,0.002528,0.001716,0.002738,0.001053,0.001294,0.001453,0.001089,0.000844,0.004079,0.003485
